Brewfather Equipment Profiles – BrewZilla Gen4 35L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profilnamn,Batch L,Metod,Batch target,Boil time min,Calc boil volume,Trub/CFC loss L,Fermenter loss L,Fermenter top-up L,Boil-off L/h,Cooling shrinkage,Post-boil hot L,Pre-boil L,Headspace till 35L,Pre-boil status,Brewhouse eff.,Mash eff.,Calc mash eff.,Grain absorption L/kg,Water/Grain L/kg,Mash/Sparge calc,Mash-tun deadspace L,Mash-tun loss L,HLT deadspace L,Include grain volume,Max mash volume L,Mash water min L,Sparge min L,Sparge max L,Overflow target,Sparge reminder,Sparge temp °C,Calc strike temp,Mash-tun heat cap L eq.,Hop utilization,Hop stand temp °C,Grain temp °C,Ambient temp °C,Whirlpool/No-chill min,Altitude adj.,Altitude m,Praktisk nivå,Batchnotering,Metodnotering,Beskrivning
BZ35 G4 - No Sparge - 15L,15,No Sparge,Fermenter,60,TRUE,0.8,0.75,0,4,0.04,16.4583333333333,20.4583333333333,14.5416666666667,OK,0.68,0.72,FALSE,0.85,3.2,No Sparge,6.75,0,0,TRUE,28,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Mellan,Mellanstor batch (~15 L): alla fyra varianter är relevanta.,Maltpipe + fullvolymsmäsk. Water/Grain är främst fallback/visning när No Sparge-metoden används.,"Rekommenderad profil för No Sparge, 15 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - BIAB – No Sparge - 15L,15,BIAB – No Sparge,Fermenter,60,TRUE,0.8,0.75,0,4,0.04,16.4583333333333,20.4583333333333,14.5416666666667,OK,0.72,0.76,FALSE,0.65,3.5,No Sparge,0,0,0,TRUE,32,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Mellan,Mellanstor batch (~15 L): alla fyra varianter är relevanta.,Påse + fullvolymsmäsk. Särskilt praktisk för mindre batcher i 35 L-kitteln.,"Rekommenderad profil för BIAB – No Sparge, 15 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - Normal - 18L,18,Normal,Fermenter,60,TRUE,0.8,0.75,0,4,0.04,19.5833333333333,23.5833333333333,11.4166666666667,OK,0.72,0.76,FALSE,0.85,3.2,Default,6.75,0,0,TRUE,28,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge.","Maltpipe + lakning. 6,75 L deadspace används som startvärde för vätskan under maltbädden; verifiera på din exakta Gen4.","Rekommenderad profil för Normal, 18 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - No Sparge - 18L,18,No Sparge,Fermenter,60,TRUE,0.8,0.75,0,4,0.04,19.5833333333333,23.5833333333333,11.4166666666667,OK,0.68,0.72,FALSE,0.85,3.2,No Sparge,6.75,0,0,TRUE,28,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge.",Maltpipe + fullvolymsmäsk. Water/Grain är främst fallback/visning när No Sparge-metoden används.,"Rekommenderad profil för No Sparge, 18 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - Normal - 20L,20,Normal,Fermenter,60,TRUE,0.8,1,0,4,0.04,21.6666666666667,25.6666666666667,9.33333333333333,OK,0.72,0.76,FALSE,0.85,3.2,Default,6.75,0,0,TRUE,28,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge.","Maltpipe + lakning. 6,75 L deadspace används som startvärde för vätskan under maltbädden; verifiera på din exakta Gen4.","Rekommenderad profil för Normal, 20 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - No Sparge - 20L,20,No Sparge,Fermenter,60,TRUE,0.8,1,0,4,0.04,21.6666666666667,25.6666666666667,9.33333333333333,OK,0.68,0.72,FALSE,0.85,3.2,No Sparge,6.75,0,0,TRUE,28,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge.",Maltpipe + fullvolymsmäsk. Water/Grain är främst fallback/visning när No Sparge-metoden används.,"Rekommenderad profil för No Sparge, 20 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - Normal - 21L,21,Normal,Fermenter,60,TRUE,0.8,1,0,4,0.04,22.7083333333333,26.7083333333333,8.29166666666666,OK,0.72,0.76,FALSE,0.85,3.2,Default,6.75,0,0,TRUE,28,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge. Bra kalibreringsankare.","Maltpipe + lakning. 6,75 L deadspace används som startvärde för vätskan under maltbädden; verifiera på din exakta Gen4.","Rekommenderad profil för Normal, 21 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - No Sparge - 21L,21,No Sparge,Fermenter,60,TRUE,0.8,1,0,4,0.04,22.7083333333333,26.7083333333333,8.29166666666666,OK,0.68,0.72,FALSE,0.85,3.2,No Sparge,6.75,0,0,TRUE,28,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge. Bra kalibreringsankare.",Maltpipe + fullvolymsmäsk. Water/Grain är främst fallback/visning när No Sparge-metoden används.,"Rekommenderad profil för No Sparge, 21 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - Normal - 23L,23,Normal,Fermenter,60,TRUE,0.8,1,0,4,0.04,24.7916666666667,28.7916666666667,6.20833333333333,OK,0.72,0.76,FALSE,0.85,3.2,Default,6.75,0,0,TRUE,28,0,0,0,Top-Up,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge; kontrollera pre-boil/headspace vid stora grain bills.","Maltpipe + lakning. 6,75 L deadspace används som startvärde för vätskan under maltbädden; verifiera på din exakta Gen4.","Rekommenderad profil för Normal, 23 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
BZ35 G4 - No Sparge - 23L,23,No Sparge,Fermenter,60,TRUE,0.8,1,0,4,0.04,24.7916666666667,28.7916666666667,6.20833333333333,OK,0.68,0.72,FALSE,0.85,3.2,No Sparge,6.75,0,0,TRUE,28,0,0,0,Mash,FALSE,78,TRUE,0,1,80,20,20,0,FALSE,0,Stor,"Stor batch (17–23 L): använd maltpipa, Normal eller No Sparge; kontrollera pre-boil/headspace vid stora grain bills.",Maltpipe + fullvolymsmäsk. Water/Grain är främst fallback/visning när No Sparge-metoden används.,"Rekommenderad profil för No Sparge, 23 L. Kalibrera boil-off, CFC/trub loss och effektivitet efter brygglogg."
